Id,Name,2nd at Folsom,2nd at South Park,2nd at Townsend,5th at Howard,5th St at Folsom St,Beale at Market,Broadway St at Battery St,Civic Center BART (7th at Market),Clay at Battery,Commercial at Montgomery,Cyril Magnin St at Ellis St,Davis at Jackson,Embarcadero at Bryant,Embarcadero at Folsom,Embarcadero at Sansome,Embarcadero at Vallejo,Golden Gate at Polk,Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),Howard at 2nd,Market at 10th,Market at 4th,Market at Sansome,Mechanics Plaza (Market at Battery),Post at Kearney,Powell at Post (Union Square),Powell Street BART,San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,South Van Ness at Market,Spear at Folsom,Steuart at Market,Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,Washington at Kearney,Yerba Buena Center of the Arts (3rd @ Howard),
27,Powell Street BART,73,146,104,0,40,116,68,69,47,122,2,75,36,26,184,44,37,177,138,93,96,47,72,285,56,67,203,157,101,53,56,60,112,83,49,53,52
28,San Francisco Caltrain (Townsend at 4th),1171,640,843,4,157,1409,936,162,1056,646,10,1048,989,2384,711,329,93,407,2362,1910,420,1021,1341,741,525,334,285,171,36,84,130,788,2482,2270,317,121,498
29,San Francisco Caltrain 2 (330 Townsend),532,244,292,18,1490,570,394,544,259,297,2,286,255,948,332,151,543,56,523,1202,3035,532,650,385,502,1563,278,55,105,295,1035,457,1059,941,3341,42,383
30,San Francisco City Hall,37,18,59,2,36,24,17,49,12,100,0,9,8,13,27,6,30,49,48,69,43,97,119,53,48,152,61,87,178,131,94,15,32,44,43,25,34
31,South Van Ness at Market,34,69,50,5,76,85,45,188,15,71,2,36,12,26,206,10,78,49,49,86,74,201,129,188,120,401,90,407,418,79,136,79,51,456,499,43,87
32,Spear at Folsom,331,98,315,8,73,211,48,46,87,206,0,218,147,24,169,33,26,239,107,54,116,113,154,155,66,39,111,608,474,22,153,69,309,61,195,47,53
33,Steuart at Market,137,242,1396,10,346,67,601,172,53,74,2,83,728,132,2605,901,149,357,62,345,385,293,358,107,199,239,155,1501,1414,70,138,310,243,251,285,65,98
34,Temporary Transbay Terminal (Howard at Beale),412,312,952,0,535,399,438,227,351,393,2,241,136,36,591,483,189,461,244,114,209,465,305,216,93,66,67,1686,1402,39,284,37,105,89,617,120,81
35,Townsend at 7th,207,246,861,4,199,41,28,1026,26,64,7,31,298,206,72,66,284,114,574,465,475,117,125,37,103,472,137,876,2292,92,509,170,523,705,170,26,260
36,Washington at Kearney,68,140,51,1,68,36,16,111,43,7,0,72,44,153,226,41,32,43,115,50,165,142,98,143,251,163,75,132,175,44,44,59,105,73,64,84,59
37,Yerba Buena Center of the Arts (3rd @ Howard),115,107,141,2,44,81,35,45,41,281,2,13,60,88,93,35,112,87,133,68,184,65,169,55,57,38,76,440,438,30,74,82,124,206,208,21,118
